10,(special for MHR only)
20,Imager time and filter metadata (image data at www.buimaging.com/data)
1002,~1 min or ~20 s 3-freq night photon counts
10_1040,VERTICAL VELOCITY COMPONENT ONLY
1050,Basic Derived Parameters
1051,Basic Derived Parameters
10_1101,Faraday Doble pulse  Version 1(7-lags)
1700,Jicamarca Magnetometers
10_1800,Faraday rotation with alternating code Long Pulse
5145_1800,FPI wind vector calculation (zenith as reference)
10_1801,Faraday rotation with alternating code Long pulse (hybrid 1)
10_1802,Faraday rotation with uncoded Long Pulse (hybrid 2)
11_1850,Bistatic Jicamarca-Paracas radar
10_1910,Vertical and Zonal Drifts
10_1911,Averaged Vertical and Zonal Drifts
10_1912,Special Drift mode
10_1913,Special Average Drift
840_1950,Ion Avg drift derived from 150km echoes JULIA mode
1951,JULIA 150-km echoes
840_1951,JULIA 150-km echoes
1961,JULIA Equatorial Spread-F
840_1961,JULIA Equatorial Spread-F
2001,FACF Power profile (pre 1995)
2002,~1 min [K] densities at night
2002,FACF Basic derived parameters (pre 1995)
1040_2002,Spectral fitter - Version 1
2010,MRACF Basic Derived Parameters (1995)
2011,F-region vector ion velocities
2015,Electron concentration using the 13-baud barker code.
20_2018,Topside ISR single-ion fit
21_2018,Topside ISR single-ion fit
20_2019,Topside ISR two-ion fit
20_2020,Coded long pulse mode
21_2020,Coded long pulse mode
2021,E-region Neutral Winds
21_2030,MRACF 10-sec Integration Variant
20_2031,MRACF 10-sec - drop gradient rule - variant
21_2031,MRACF 10-sec - drop gradient rule - variant
20_2040,Plasma line - upshifted line only
21_2040,Plasma line - upshifted line only
20_2041,Plasma line - up and downshifted lines with differences
21_2041,Plasma line - up and downshifted lines with differences
4480_2100,Red line (630.0 nm) photometer
4481_2101,Green line (557.7 nm) photometer
3001,INSCAL Basic Derived Parameters
3002,INSCAL Basic Derived Parameters
3071,INSCAL Basic Derived Parameters
3101,Two-pulse Data
3201,HYCOR Basic Derived Parameters - INSCAL (1.0)
3301,SCAT Basic Derived Parameters - INSCAL (1.0)
3302,SCAT Basic Derived Parameters - INSCAL (2.0)
3303,SCAT Basic Derived Parameters - INSCAL (3.0)
3304,SCAT Basic Derived Parameters - INSCAL (4.0)
3305,SCAT Basic Derived Parameters - INSCAL (5.0)
3306,SCAT Basic Derived Parameters - INSCAL (5.0)
3321,SCAT - OASIS 1.x
3405,MIDAS Basic Derived Parameters - INSCAL (5.0)
3406,INSCAL (Quicklook) Basic Derived Parameters
3408,Combined basic parameters file - all antennas and modes
30_3408,Combined basic parameters file - all antennas and modes
3410,Combined basic parameters file - all antennas and modes
30_3410,Combined basic parameters file - all antennas and modes
30_3415,Plasma line peak densities
3415,Plasma line peak densities
3416,Plasma line peak densities and hmax
30_3420,Zenith single-pulse basic parameters
32_3420,Zenith single-pulse basic parameters
30_3425,Zenith alternating-code basic parameters
32_3425,Zenith alternating-code basic parameters
30_3430,MISA (steerable) single-pulse basic parameters
31_3430,MISA (steerable) single-pulse basic parameters
30_3435,MISA (steerable) alternating-code basic parameters
31_3435,MISA (steerable) alternating-code basic parameters
3440,Autocorrelation function
3500,Minimum Scallop TEC Processing binned
3505,Line-of-sight TEC
3510,PUSCAT electron density profile
3990,Millstone Hill/UMLCAR Digisonde data
3999,Millstone Hill/UMLCAR Digisonde data
